UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:45:38.105Z,0.24767271,10.235631,-7.9817554,-5.2973168,2259.8302,2250.6331,1691.0188
2008-08-12T20:45:41.115Z,0.21853474,-1.032096,1.9208852,-17.341604,2397.4942,2426.3765,1796.5231
2008-08-12T20:45:44.126Z,0.18939678,-16.206662,-2.6239806,-9.278393199999998,2803.2978,2846.0316,2173.1641
2008-08-12T20:45:47.136Z,0.21853474,-12.438383,15.081691,-21.17706,2613.9514,2475.8192,1801.2265
2008-08-12T20:45:50.146Z,0.24767271,4.9663179,25.733646,-2.4784961,2123.4976,2310.6865,1666.8303
2008-08-12T20:45:53.156Z,0.30594864,0.035982141,17.739905,-9.5271203,1683.7318,1740.1279,1304.5186
2008-08-12T20:45:56.167Z,0.27681068,15.807841,10.993138,-13.669697,1970.8608,1964.8213,1483.5528
2008-08-12T20:45:59.177Z,0.24767271,13.454006,13.747174,5.503134200000001,2207.7598,2244.268,1651.8657
2008-08-12T20:46:02.187Z,0.24767271,-12.091663,12.644523,-9.598450699999999,2276.8139,2206.9372,1613.2829
2008-08-12T20:46:05.198Z,0.24767271,2.3716343,15.368246,-9.9564144,2180.0318,2072.1305,1599.8644
2008-08-12T20:46:08.208Z,0.21853474,-12.919618,16.872307,5.4094887,2569.4015,2513.6682,1923.4961
2008-08-12T20:46:11.218Z,0.21853472,-11.570268,7.379790700000001,5.711059,2681.2642,2655.3252,2014.6968
2008-08-12T20:46:14.228Z,0.27681064,-8.520322199999999,-8.9277139,-2.7802004,2116.7461,2043.4038,1481.7023
2008-08-12T20:46:17.239Z,0.27681064,-4.006111600000001,-5.1938716,-0.19570685,2131.4876,2007.269,1578.6818
2008-08-12T20:46:20.249Z,0.27681064,-15.308995,-12.420384,5.6164217,1938.1706,2018.7588,1475.0593
2008-08-12T20:46:23.259Z,0.24767268,-36.757534,-18.591665,-10.754546,2214.3514,2061.4449,1569.5512
2008-08-12T20:46:26.270Z,0.3059486,-24.705906,-14.689671,-3.9406753,1884.7236,1818.6787,1335.8482
2008-08-12T20:46:29.280Z,0.3059486,-19.4634,-9.520371899999999,-0.66240414,1743.855,1753.637,1281.6175
2008-08-12T20:46:32.290Z,0.27681064,-23.099173,-9.481677000000001,1.1449069,1857.027,1832.6237,1406.6796
2008-08-12T20:46:35.300Z,0.21853472,-16.972952,-20.918161,12.087023,2341.9141,2364.3022,1673.1757
2008-08-12T20:46:38.311Z,0.24767268,-12.926508,-7.2145213,18.892871,2058.1296,2082.9201,1565.6556
2008-08-12T20:46:41.321Z,0.21853472,-11.758625,-4.5841775,11.466047,2316.8959,2234.319,1752.0996
2008-08-12T20:46:44.331Z,0.24767268,7.6107489,-4.4562282,4.4519701,2195.7192,2233.2166,1638.5004
2008-08-12T20:46:47.342Z,0.21853472,-10.441495,-10.723403,1.5297282,2481.2705,2433.1076,1763.9159
2008-08-12T20:46:50.352Z,0.21853472,0.59820992,0.84457104,10.382525,2550.2393,2624.614,1906.7625
2008-08-12T20:46:53.362Z,0.21853472,-15.485378,-11.649857,11.25469,2302.622,2392.2456,1764.6513
2008-08-12T20:46:56.372Z,0.24767268,4.5613057,-20.054139,17.208207,2193.7773,2124.2226,1676.1006
2008-08-12T20:46:59.383Z,0.21853472,11.431372,-12.530619,5.570219,2432.9467,2445.2166,1763.9146
2008-08-12T20:47:02.393Z,0.24767268,-14.231245,-12.90293,11.690764,2192.2656,2357.2243,1684.9698
