UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM,BY_FGS-D_(@_2_)_nT_GSM,BZ_FGS-D_(@_3_)_nT_GSM
2008-08-12T20:47:42.722Z,45.9544,12.0891,1.26870,44.3176
2008-08-12T20:47:45.733Z,45.9975,12.0998,1.05983,44.3649
2008-08-12T20:47:48.743Z,45.8519,12.1919,1.29345,44.1824
2008-08-12T20:47:51.753Z,45.4737,12.0632,1.35404,43.8236
2008-08-12T20:47:54.764Z,45.3251,11.8801,1.66946,43.7086
2008-08-12T20:47:57.774Z,45.4803,11.9585,1.52453,43.8534
2008-08-12T20:48:00.784Z,45.4768,11.8556,1.69399,43.8716
2008-08-12T20:48:03.794Z,45.5795,11.9081,1.41029,43.9739
2008-08-12T20:48:06.805Z,45.5288,11.8645,1.48617,43.9306
2008-08-12T20:48:09.815Z,45.5668,11.7723,1.44762,43.9960
2008-08-12T20:48:12.825Z,45.4644,11.7198,1.72965,43.8939
2008-08-12T20:48:15.836Z,45.4699,11.6328,1.68549,43.9244
2008-08-12T20:48:18.846Z,45.3428,11.6361,1.87770,43.7840
2008-08-12T20:48:21.856Z,45.3343,11.5685,1.61617,43.8036
2008-08-12T20:48:24.866Z,45.1863,11.5407,1.67523,43.6556
2008-08-12T20:48:27.877Z,45.1369,11.6178,1.36532,43.5948
2008-08-12T20:48:30.887Z,44.9994,11.5882,1.42627,43.4584
2008-08-12T20:48:33.897Z,45.0251,11.6876,1.25887,43.4635
2008-08-12T20:48:36.908Z,44.8050,11.6366,1.73587,43.2326
2008-08-12T20:48:39.918Z,44.6624,11.5218,1.75163,43.1151
2008-08-12T20:48:42.928Z,44.5868,11.7409,1.95565,42.9687
2008-08-12T20:48:45.938Z,44.4875,11.6191,1.97890,42.8977
2008-08-12T20:48:48.949Z,44.4294,11.7841,2.27090,42.7779
2008-08-12T20:48:51.959Z,44.4743,11.8801,2.10725,42.8063
2008-08-12T20:48:54.969Z,44.3713,11.8799,2.30324,42.6893
2008-08-12T20:48:57.980Z,44.3489,11.8487,2.16928,42.6816
2008-08-12T20:49:00.990Z,44.2879,11.7723,2.11393,42.6423
2008-08-12T20:49:04.000Z,44.2847,11.7207,1.63879,42.6741
2008-08-12T20:49:07.010Z,44.2229,11.7135,1.84227,42.6036
2008-08-12T20:49:10.021Z,44.2171,11.5767,1.32193,42.6542
2008-08-12T20:49:13.031Z,44.1286,11.6253,1.43561,42.5455
2008-08-12T20:49:16.041Z,44.1435,11.5543,1.17783,42.5883
2008-08-12T20:49:19.052Z,44.0439,11.6047,1.28964,42.4680
2008-08-12T20:49:22.062Z,44.1111,11.5595,1.17061,42.5534
2008-08-12T20:49:25.072Z,44.1013,11.5436,1.38344,42.5412
2008-08-12T20:49:28.082Z,44.1523,11.4150,1.21735,42.6338
2008-08-12T20:49:31.093Z,44.1560,11.3795,1.64753,42.6327
2008-08-12T20:49:34.103Z,44.2368,11.4356,1.36006,42.7115
2008-08-12T20:49:37.113Z,44.2038,11.3202,1.73947,42.6943
2008-08-12T20:49:40.124Z,44.3190,11.3533,1.67309,42.8074
2008-08-12T20:49:43.134Z,44.2357,11.1774,1.78431,42.7630
2008-08-12T20:49:46.144Z,44.1885,10.9269,1.64230,42.7846
2008-08-12T20:49:49.154Z,44.1969,10.9944,1.90220,42.7653
2008-08-12T20:49:52.165Z,44.2852,10.9458,1.78688,42.8740
2008-08-12T20:49:55.175Z,44.2239,10.8267,1.70894,42.8440
2008-08-12T20:49:58.185Z,44.2736,10.5959,1.15270,42.9715
2008-08-12T20:50:01.196Z,44.1605,10.4678,1.28096,42.8828
2008-08-12T20:50:04.206Z,44.2195,10.3045,0.985415,42.9908
2008-08-12T20:50:07.216Z,44.2450,10.3686,1.24903,42.9948
2008-08-12T20:50:10.226Z,44.2893,10.4219,1.06277,43.0325
2008-08-12T20:50:13.237Z,44.2529,10.4015,1.37870,42.9910
2008-08-12T20:50:16.247Z,44.2874,10.3189,1.23145,43.0509
2008-08-12T20:50:19.257Z,44.2116,10.3907,1.58513,42.9440
2008-08-12T20:50:22.267Z,44.1512,10.3489,1.65922,42.8891
2008-08-12T20:50:25.278Z,43.9924,10.4001,1.86860,42.7046
2008-08-12T20:50:28.288Z,44.0443,10.5636,1.96565,42.7136
2008-08-12T20:50:31.298Z,43.9222,10.4892,2.28619,42.5900
2008-08-12T20:50:34.309Z,43.9357,10.4781,2.11572,42.6155
2008-08-12T20:50:37.319Z,43.8502,10.6040,2.38149,42.4820
2008-08-12T20:50:40.329Z,43.9254,10.7294,2.35285,42.5298
