EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,<|B|>__nT,BX_(GSM)_(@_x_component_)_nT,BY_(GSM)_(@_y_component_)_nT,BZ_(GSM)_(@_z_component_)_nT
2008-08-12T23:21:26.000Z,1.612,0.42,-0.447,-1.488
2008-08-12T23:21:42.000Z,1.68,0.537,-0.447,-1.524
2008-08-12T23:21:58.000Z,1.772,0.579,-0.319,-1.643
2008-08-12T23:22:14.000Z,1.97,0.8,-0.244,-1.777
2008-08-12T23:22:30.000Z,2.147,0.954,-0.426,-1.869
2008-08-12T23:22:46.000Z,2.46,1.475,-0.204,-1.951
2008-08-12T23:23:02.000Z,2.426,1.481,-0.133,-1.911
2008-08-12T23:23:18.000Z,2.414,1.418,-0.137,-1.941
2008-08-12T23:23:34.000Z,2.323,1.402,-0.012,-1.845
2008-08-12T23:23:50.000Z,2.304,1.403,-0.143,-1.817
2008-08-12T23:24:06.000Z,2.371,1.42,-0.264,-1.878
2008-08-12T23:24:22.000Z,2.389,1.275,-0.422,-1.971
2008-08-12T23:24:38.000Z,2.432,1.338,-0.349,-1.997
2008-08-12T23:24:54.000Z,2.506,1.424,-0.273,-2.041
2008-08-12T23:25:10.000Z,2.41,1.342,-0.425,-1.952
2008-08-12T23:25:26.000Z,2.417,1.434,-0.126,-1.904
2008-08-12T23:25:42.000Z,2.444,1.676,0.162,-1.767
2008-08-12T23:25:58.000Z,2.394,1.564,0.087,-1.799
2008-08-12T23:26:14.000Z,2.451,1.716,0.216,-1.731
2008-08-12T23:26:30.000Z,2.307,1.466,-0.056,-1.772
2008-08-12T23:26:46.000Z,2.225,1.485,0.027,-1.645
2008-08-12T23:27:02.000Z,2.313,1.693,0.164,-1.56
2008-08-12T23:27:18.000Z,2.314,1.559,0.08,-1.704
2008-08-12T23:27:34.000Z,1.99,1.134,-0.667,-1.456
2008-08-12T23:27:50.000Z,1.824,1.023,-0.73,-1.318
2008-08-12T23:28:06.000Z,2.272,0.71,-1.514,-1.504
2008-08-12T23:28:22.000Z,2.263,0.535,-1.8,-1.237
2008-08-12T23:28:38.000Z,2.258,0.356,-1.805,-1.302
2008-08-12T23:28:54.000Z,2.277,0.633,-1.799,-1.203
2008-08-12T23:29:10.000Z,2.407,1.126,-1.613,-1.33
2008-08-12T23:29:26.000Z,2.365,0.985,-1.668,-1.303
2008-08-12T23:29:42.000Z,2.355,1.041,-1.705,-1.227
2008-08-12T23:29:58.000Z,2.313,0.735,-1.811,-1.228
2008-08-12T23:30:14.000Z,2.309,0.599,-1.777,-1.327
2008-08-12T23:30:30.000Z,2.303,0.66,-1.91,-1.069
2008-08-12T23:30:46.000Z,2.367,0.86,-1.847,-1.189
2008-08-12T23:31:02.000Z,2.369,0.685,-1.923,-1.197
2008-08-12T23:31:18.000Z,2.377,0.722,-1.943,-1.153
2008-08-12T23:31:34.000Z,2.398,0.737,-1.76,-1.446
2008-08-12T23:31:50.000Z,2.322,0.588,-1.598,-1.574
2008-08-12T23:32:06.000Z,2.313,0.582,-1.496,-1.661
2008-08-12T23:32:22.000Z,2.358,0.672,-1.292,-1.847
2008-08-12T23:32:38.000Z,2.416,1.039,-1.811,-1.155
2008-08-12T23:32:54.000Z,2.408,1.044,-2.025,-0.59
2008-08-12T23:33:10.000Z,2.405,0.992,-1.722,-1.165
2008-08-12T23:33:26.000Z,2.418,0.597,-1.652,-1.654
2008-08-12T23:33:42.000Z,2.346,0.424,-1.69,-1.551
2008-08-12T23:33:58.000Z,1.995,0.5,-1.504,-1.206
2008-08-12T23:34:14.000Z,2.164,0.682,-1.722,-1.101
2008-08-12T23:34:30.000Z,2.48,0.685,-1.993,-1.298
2008-08-12T23:34:46.000Z,2.419,0.624,-1.99,-1.202
2008-08-12T23:35:02.000Z,2.327,0.378,-1.794,-1.425
2008-08-12T23:35:18.000Z,1.96,0.746,-1.634,-0.665
2008-08-12T23:35:34.000Z,1.921,0.992,-1.613,0.251
2008-08-12T23:35:50.000Z,2.48,1.468,-1.922,0.522
2008-08-12T23:36:06.000Z,2.444,1.416,-1.972,0.19
2008-08-12T23:36:22.000Z,2.368,1.181,-2.042,0.124
2008-08-12T23:36:38.000Z,2.181,1.205,-1.804,-0.172
2008-08-12T23:36:54.000Z,2.247,1.224,-1.879,-0.094
2008-08-12T23:37:10.000Z,2.502,1.423,-2.044,-0.205
2008-08-12T23:37:26.000Z,2.513,1.415,-2.045,-0.343
2008-08-12T23:37:42.000Z,2.594,1.503,-2.09,-0.301
2008-08-12T23:37:58.000Z,2.579,1.5,-2.053,-0.413
2008-08-12T23:38:14.000Z,2.559,1.401,-2.098,-0.41
2008-08-12T23:38:30.000Z,2.646,1.452,-2.15,-0.506
2008-08-12T23:38:46.000Z,2.697,1.55,-2.156,-0.461
2008-08-12T23:39:02.000Z,2.725,1.572,-2.16,-0.523
2008-08-12T23:39:18.000Z,2.793,1.581,-2.22,-0.606
2008-08-12T23:39:34.000Z,2.78,1.541,-2.192,-0.729
2008-08-12T23:39:50.000Z,2.735,1.57,-2.067,-0.856
2008-08-12T23:40:06.000Z,2.79,1.63,-2.061,-0.932
2008-08-12T23:40:22.000Z,2.837,1.745,-2.022,-0.944
2008-08-12T23:40:38.000Z,2.77,1.704,-2.0,-0.869
2008-08-12T23:40:54.000Z,2.801,1.743,-1.934,-1.024
2008-08-12T23:41:10.000Z,2.65,1.586,-1.698,-1.259
2008-08-12T23:41:26.000Z,2.713,1.501,-2.055,-0.855
2008-08-12T23:41:42.000Z,2.824,1.705,-2.094,-0.821
2008-08-12T23:41:58.000Z,2.819,1.635,-2.085,-0.944
2008-08-12T23:42:14.000Z,2.846,1.644,-2.128,-0.927
2008-08-12T23:42:30.000Z,2.821,1.663,-2.056,-0.975
2008-08-12T23:42:46.000Z,2.752,1.588,-2.074,-0.858
2008-08-12T23:43:02.000Z,2.768,1.644,-1.987,-0.994
2008-08-12T23:43:18.000Z,2.856,1.642,-2.05,-1.113
2008-08-12T23:43:34.000Z,2.901,1.638,-2.086,-1.171
2008-08-12T23:43:50.000Z,2.896,1.686,-2.003,-1.235
2008-08-12T23:44:06.000Z,2.909,1.77,-2.053,-1.041
2008-08-12T23:44:22.000Z,2.768,1.787,-1.842,-1.02
2008-08-12T23:44:38.000Z,2.823,1.94,-1.738,-1.053
2008-08-12T23:44:54.000Z,2.905,2.145,-1.389,-1.373
2008-08-12T23:45:10.000Z,2.722,2.225,-0.706,-1.368
2008-08-12T23:45:26.000Z,2.31,1.811,-0.686,-1.254
2008-08-12T23:45:42.000Z,2.108,1.514,-0.79,-1.232
2008-08-12T23:45:58.000Z,2.044,1.442,-0.694,-1.27
2008-08-12T23:46:14.000Z,2.144,1.541,-0.604,-1.353
2008-08-12T23:46:30.000Z,2.038,1.576,-0.408,-1.224
2008-08-12T23:46:46.000Z,1.91,1.359,-0.476,-1.25
2008-08-12T23:47:02.000Z,2.656,2.339,-0.565,-1.111
2008-08-12T23:47:18.000Z,2.708,2.416,-0.71,-0.993
2008-08-12T23:47:34.000Z,2.778,2.47,-0.709,-1.045
2008-08-12T23:47:50.000Z,2.809,2.493,-0.68,-1.098
2008-08-12T23:48:06.000Z,2.91,2.63,-0.535,-1.121
2008-08-12T23:48:22.000Z,2.762,2.431,-0.54,-1.185
2008-08-12T23:48:38.000Z,2.723,2.395,-0.542,-1.172
2008-08-12T23:48:54.000Z,2.378,2.176,-0.284,-0.912
2008-08-12T23:49:10.000Z,2.395,2.187,-0.384,-0.891
2008-08-12T23:49:26.000Z,2.388,2.217,-0.307,-0.828
2008-08-12T23:49:42.000Z,2.561,2.406,-0.213,-0.851
2008-08-12T23:49:58.000Z,2.76,2.598,-0.176,-0.912
2008-08-12T23:50:14.000Z,2.444,2.3,-0.129,-0.812
2008-08-12T23:50:30.000Z,2.365,2.238,-0.077,-0.756
2008-08-12T23:50:46.000Z,2.372,2.21,-0.079,-0.853
2008-08-12T23:51:02.000Z,2.483,2.333,0.067,-0.84
2008-08-12T23:51:18.000Z,2.452,2.325,0.302,-0.709
2008-08-12T23:51:34.000Z,2.532,2.383,0.133,-0.821
2008-08-12T23:51:50.000Z,2.491,2.324,0.159,-0.877
2008-08-13T00:07:18.000Z,3.029,2.583,-0.338,-1.544
2008-08-13T00:07:34.000Z,2.995,2.554,-0.341,-1.524
2008-08-13T00:07:50.000Z,2.982,2.536,-0.293,-1.538
2008-08-13T00:08:06.000Z,2.951,2.417,-0.428,-1.631
2008-08-13T00:08:22.000Z,2.876,2.365,-0.415,-1.58
2008-08-13T00:08:38.000Z,2.932,2.403,-0.356,-1.634
2008-08-13T00:08:54.000Z,2.917,2.165,-0.632,-1.84
2008-08-13T00:09:10.000Z,2.746,1.412,-0.964,-2.099
2008-08-13T00:09:26.000Z,2.663,1.288,-1.009,-2.088
2008-08-13T00:09:42.000Z,2.629,0.985,-0.993,-2.208
2008-08-13T00:09:58.000Z,2.586,0.539,-1.011,-2.294
2008-08-13T00:10:14.000Z,2.551,-0.144,-1.069,-2.3
2008-08-13T00:10:30.000Z,2.517,0.107,-1.458,-2.032
2008-08-13T00:10:46.000Z,2.528,0.309,-1.361,-2.097
2008-08-13T00:11:02.000Z,2.595,0.339,-1.48,-2.09
2008-08-13T00:11:18.000Z,2.474,0.528,-1.631,-1.752
2008-08-13T00:11:34.000Z,2.278,0.437,-1.329,-1.787
2008-08-13T00:11:50.000Z,2.372,0.481,-1.222,-1.963
2008-08-13T00:12:06.000Z,2.639,0.642,-1.352,-2.137
2008-08-13T00:12:22.000Z,2.684,1.085,-1.205,-2.082
2008-08-13T00:12:38.000Z,2.669,0.868,-1.237,-2.176
2008-08-13T00:12:54.000Z,2.612,0.976,-1.369,-1.994
2008-08-13T00:13:10.000Z,2.667,1.177,-1.265,-2.005
2008-08-13T00:13:26.000Z,2.692,1.333,-1.14,-2.036
2008-08-13T00:13:42.000Z,2.693,1.399,-0.906,-2.108
2008-08-13T00:13:58.000Z,2.772,1.582,-0.664,-2.172
2008-08-13T00:14:14.000Z,2.815,1.766,-0.262,-2.157
2008-08-13T00:14:30.000Z,2.752,1.489,-0.786,-2.132
2008-08-13T00:14:46.000Z,2.763,1.543,-1.108,-1.983
2008-08-13T00:15:02.000Z,2.851,1.828,-0.55,-2.058
2008-08-13T00:15:18.000Z,2.674,1.001,-1.023,-2.195
2008-08-13T00:15:34.000Z,2.641,-0.057,-1.37,-2.251
2008-08-13T00:15:50.000Z,2.626,-0.134,-1.441,-2.179
2008-08-13T00:16:06.000Z,2.62,-0.084,-1.472,-2.159
2008-08-13T00:16:22.000Z,2.649,-0.033,-1.542,-2.142
2008-08-13T00:16:38.000Z,2.582,-0.286,-1.281,-2.203
2008-08-13T00:16:54.000Z,2.628,-0.532,-1.504,-2.067
2008-08-13T00:17:10.000Z,2.539,-0.754,-1.444,-1.874
2008-08-13T00:17:26.000Z,2.608,-0.499,-1.327,-2.183
2008-08-13T00:17:42.000Z,2.634,-0.789,-1.208,-2.194
2008-08-13T00:17:58.000Z,2.622,-1.064,-1.196,-2.067
2008-08-13T00:18:14.000Z,2.598,-0.843,-1.289,-2.083
2008-08-13T00:18:30.000Z,2.635,-0.671,-1.289,-2.189
2008-08-13T00:18:46.000Z,2.581,-0.515,-1.321,-2.153
2008-08-13T00:19:02.000Z,2.521,-0.657,-1.347,-2.021
2008-08-13T00:19:18.000Z,2.572,-0.685,-1.302,-2.102
2008-08-13T00:19:34.000Z,2.436,-0.669,-1.496,-1.793
2008-08-13T00:19:50.000Z,2.639,-0.413,-1.627,-1.987
2008-08-13T00:20:06.000Z,2.705,-0.692,-1.481,-2.13
2008-08-13T00:20:22.000Z,2.616,-0.75,-1.381,-2.074
2008-08-13T00:20:38.000Z,2.626,-0.574,-1.376,-2.114
2008-08-13T00:20:54.000Z,2.685,-0.825,-1.315,-2.169
2008-08-13T00:21:10.000Z,2.649,-0.834,-0.986,-2.282
2008-08-13T00:21:26.000Z,2.734,0.362,-1.621,-2.167
2008-08-13T00:21:42.000Z,2.684,0.066,-1.395,-2.287
2008-08-13T00:21:58.000Z,2.737,-0.136,-1.307,-2.395
2008-08-13T00:22:14.000Z,2.754,-0.189,-1.237,-2.446
2008-08-13T00:22:30.000Z,2.722,-0.054,-1.256,-2.409
2008-08-13T00:22:46.000Z,2.711,-0.229,-1.238,-2.396
2008-08-13T00:23:02.000Z,2.71,-0.3,-1.278,-2.367
2008-08-13T00:23:18.000Z,2.713,0.004,-1.242,-2.398
2008-08-13T00:23:34.000Z,2.64,-0.144,-1.349,-2.242
2008-08-13T00:23:50.000Z,2.637,-0.267,-1.33,-2.245
2008-08-13T00:24:06.000Z,2.735,0.533,-0.967,-2.492
2008-08-13T00:24:22.000Z,2.702,0.492,-1.065,-2.427
2008-08-13T00:24:38.000Z,2.709,0.682,-1.068,-2.39
2008-08-13T00:24:54.000Z,2.651,0.525,-1.054,-2.372
2008-08-13T00:25:10.000Z,2.777,0.734,-1.091,-2.439
2008-08-13T00:25:26.000Z,2.769,0.864,-1.029,-2.416
2008-08-13T00:25:42.000Z,2.742,0.812,-0.875,-2.462
2008-08-13T00:25:58.000Z,2.865,1.066,-1.09,-2.399
2008-08-13T00:26:14.000Z,2.823,0.644,-1.17,-2.462
2008-08-13T00:26:30.000Z,2.869,1.055,-1.207,-2.374
2008-08-13T00:26:46.000Z,2.926,1.236,-1.279,-2.319
2008-08-13T00:27:02.000Z,2.858,1.376,-1.35,-2.1
2008-08-13T00:27:18.000Z,2.854,1.483,-1.352,-2.003
2008-08-13T00:27:34.000Z,2.819,1.194,-1.228,-2.234
2008-08-13T00:27:50.000Z,2.759,1.011,-1.154,-2.29
2008-08-13T00:28:06.000Z,2.785,1.126,-1.11,-2.29
2008-08-13T00:28:22.000Z,2.764,1.026,-1.087,-2.321
2008-08-13T00:28:38.000Z,2.787,1.047,-1.04,-2.357
2008-08-13T00:28:54.000Z,2.805,0.921,-0.948,-2.471
2008-08-13T00:29:10.000Z,2.8,0.719,-0.84,-2.568
2008-08-13T00:29:26.000Z,2.761,0.793,-0.952,-2.461
2008-08-13T00:29:42.000Z,2.765,0.709,-1.019,-2.468
2008-08-13T00:29:58.000Z,2.745,0.674,-0.898,-2.503
2008-08-13T00:30:14.000Z,2.795,0.762,-0.897,-2.526
2008-08-13T00:30:30.000Z,2.854,0.802,-0.692,-2.641
2008-08-13T00:30:46.000Z,2.817,0.576,-0.351,-2.723
2008-08-13T00:31:02.000Z,2.734,0.174,-0.234,-2.698
2008-08-13T00:31:18.000Z,2.631,-0.469,-0.177,-2.567
2008-08-13T00:31:34.000Z,2.639,-0.32,-0.272,-2.602
2008-08-13T00:31:50.000Z,2.606,1.357,-1.198,-1.629
2008-08-13T00:32:06.000Z,2.572,1.188,-0.987,-2.03
2008-08-13T00:32:22.000Z,2.485,0.674,-0.826,-2.233
2008-08-13T00:32:38.000Z,2.575,0.87,-1.021,-2.165
2008-08-13T00:32:54.000Z,2.507,0.877,-1.17,-2.031
2008-08-13T00:33:10.000Z,2.499,1.24,-1.102,-1.836
2008-08-13T00:33:26.000Z,2.459,1.229,-0.812,-1.954
2008-08-13T00:33:42.000Z,2.416,1.193,-0.703,-1.964
2008-08-13T00:33:58.000Z,2.386,1.027,-0.642,-2.046
2008-08-13T00:34:14.000Z,2.393,0.938,-0.727,-2.059
2008-08-13T00:34:30.000Z,2.299,1.123,-0.92,-1.733
2008-08-13T00:34:46.000Z,2.323,1.049,-0.746,-1.905
2008-08-13T00:35:02.000Z,2.411,1.001,-0.277,-2.159
2008-08-13T00:35:18.000Z,2.518,1.403,-0.3,-2.043
2008-08-13T00:35:34.000Z,2.651,1.473,-0.522,-2.109
2008-08-13T00:35:50.000Z,2.556,1.318,-0.607,-2.09
2008-08-13T00:36:06.000Z,2.571,1.53,-0.832,-1.864
2008-08-13T00:36:22.000Z,2.521,1.452,-0.688,-1.907
2008-08-13T00:36:38.000Z,2.544,1.225,-0.648,-2.12
2008-08-13T00:36:54.000Z,2.503,1.168,-0.553,-2.137
2008-08-13T00:37:10.000Z,2.508,1.15,-0.296,-2.205
2008-08-13T00:37:26.000Z,2.53,1.101,-0.37,-2.243
2008-08-13T00:37:42.000Z,2.458,1.252,-0.321,-2.087
2008-08-13T00:37:58.000Z,2.373,0.989,-0.497,-2.091
2008-08-13T00:38:14.000Z,2.477,1.194,-0.428,-2.113
2008-08-13T00:38:30.000Z,2.473,1.197,-0.433,-2.119
2008-08-13T00:38:46.000Z,2.52,1.136,-0.294,-2.227
2008-08-13T00:39:02.000Z,2.327,1.027,-0.44,-2.032
2008-08-13T00:39:18.000Z,2.38,1.089,-0.303,-2.083
2008-08-13T00:39:34.000Z,2.398,1.107,-0.419,-2.06
2008-08-13T00:39:50.000Z,2.341,0.948,-0.227,-2.119
2008-08-13T00:40:06.000Z,2.309,0.766,-0.507,-2.108
2008-08-13T00:40:22.000Z,2.315,0.609,-0.289,-2.207
2008-08-13T00:40:38.000Z,2.264,0.499,-0.181,-2.196
2008-08-13T00:40:54.000Z,2.306,0.675,-0.065,-2.199
2008-08-13T00:41:10.000Z,2.383,1.092,-0.26,-2.04
2008-08-13T00:41:26.000Z,2.475,1.347,-0.531,-1.939
2008-08-13T00:41:42.000Z,2.551,1.612,-0.754,-1.805
2008-08-13T00:41:58.000Z,2.482,1.338,-0.367,-2.045
2008-08-13T00:42:14.000Z,2.527,1.202,-0.485,-2.166
2008-08-13T00:42:30.000Z,2.517,1.393,-0.468,-2.034
2008-08-13T00:42:46.000Z,2.516,1.423,-0.493,-1.967
2008-08-13T00:43:02.000Z,2.474,1.027,-0.366,-2.193
2008-08-13T00:43:18.000Z,2.527,1.244,-0.48,-2.131
2008-08-13T00:43:34.000Z,2.421,1.132,-0.393,-2.086
2008-08-13T00:43:50.000Z,2.56,1.562,-0.443,-1.932
2008-08-13T00:44:06.000Z,2.415,1.068,-0.261,-2.123
2008-08-13T00:44:22.000Z,2.413,1.06,-0.212,-2.147
2008-08-13T00:44:38.000Z,2.453,1.095,-0.11,-2.166
2008-08-13T00:44:54.000Z,2.473,1.309,-0.23,-2.067
2008-08-13T00:45:10.000Z,2.571,1.669,-0.191,-1.931
2008-08-13T00:45:26.000Z,2.581,1.952,-0.481,-1.599
2008-08-13T00:45:42.000Z,2.518,1.825,-0.341,-1.675
2008-08-13T00:45:58.000Z,2.402,1.109,-0.302,-2.085
2008-08-13T00:46:14.000Z,2.497,1.189,0.011,-2.182
2008-08-13T00:46:30.000Z,2.452,1.022,0.102,-2.187
2008-08-13T00:46:46.000Z,2.377,0.526,-0.259,-2.285
2008-08-13T00:47:02.000Z,2.413,0.897,-0.314,-2.203
2008-08-13T00:47:18.000Z,2.483,1.045,-0.259,-2.221
2008-08-13T00:47:34.000Z,2.662,1.591,0.103,-2.089
2008-08-13T00:47:50.000Z,2.651,1.401,-0.186,-2.21
2008-08-13T00:48:06.000Z,2.573,1.091,-0.379,-2.29
2008-08-13T00:48:22.000Z,2.557,0.983,-0.769,-2.222
2008-08-13T00:48:38.000Z,2.594,1.119,-0.382,-2.303
2008-08-13T00:48:54.000Z,2.614,1.053,-0.131,-2.372
2008-08-13T00:49:10.000Z,2.588,1.19,0.087,-2.282
2008-08-13T00:49:26.000Z,2.524,0.962,-0.465,-2.28
2008-08-13T00:49:42.000Z,2.378,0.858,-0.185,-2.188
2008-08-13T00:49:58.000Z,2.537,1.016,-0.567,-2.234
2008-08-13T00:50:14.000Z,2.598,0.994,-0.884,-2.197
2008-08-13T00:50:30.000Z,2.566,0.769,-1.128,-2.136
2008-08-13T00:50:46.000Z,2.55,0.779,-0.966,-2.213
2008-08-13T00:51:02.000Z,2.514,0.878,-0.863,-2.173
2008-08-13T00:51:18.000Z,2.597,0.929,-0.793,-2.219
2008-08-13T00:51:34.000Z,2.601,1.016,-0.838,-2.22
2008-08-13T00:51:50.000Z,2.52,0.918,-0.877,-2.155
2008-08-13T00:52:06.000Z,2.588,0.919,-0.963,-2.209
2008-08-13T00:52:22.000Z,2.618,1.034,-0.639,-2.302
2008-08-13T00:52:38.000Z,2.711,1.284,-0.493,-2.313
2008-08-13T00:52:54.000Z,2.657,1.136,-0.714,-2.264
2008-08-13T00:53:10.000Z,2.605,1.01,-0.626,-2.303
2008-08-13T00:53:26.000Z,2.623,1.021,-0.398,-2.375
2008-08-13T00:53:42.000Z,2.606,1.28,-0.549,-2.192
2008-08-13T00:53:58.000Z,2.556,1.251,-0.541,-2.157
2008-08-13T00:54:14.000Z,2.586,1.054,-0.481,-2.306
2008-08-13T00:54:30.000Z,2.551,0.95,-0.089,-2.347
2008-08-13T00:54:46.000Z,2.575,1.151,-0.094,-2.286
2008-08-13T00:55:02.000Z,2.638,1.035,-0.426,-2.355
2008-08-13T00:55:18.000Z,2.559,0.827,-0.347,-2.326
2008-08-13T00:55:34.000Z,2.643,1.258,-0.758,-2.151
2008-08-13T00:55:50.000Z,2.615,0.964,-0.756,-2.283
2008-08-13T00:56:06.000Z,2.587,0.618,-0.603,-2.432
2008-08-13T00:56:22.000Z,2.578,0.534,-0.71,-2.412
2008-08-13T00:56:38.000Z,2.707,1.292,-0.63,-2.221
2008-08-13T00:56:54.000Z,2.618,1.082,-0.615,-2.287
2008-08-13T00:57:10.000Z,2.655,0.714,-0.091,-2.534
2008-08-13T00:57:26.000Z,2.712,0.947,-0.229,-2.521
2008-08-13T00:57:42.000Z,2.737,1.037,-0.324,-2.499
2008-08-13T00:57:58.000Z,2.795,1.152,-0.781,-2.41
2008-08-13T00:58:14.000Z,2.775,1.056,-0.749,-2.426
2008-08-13T00:58:30.000Z,2.731,1.085,-0.788,-2.374
2008-08-13T00:58:46.000Z,2.774,1.101,-0.847,-2.392
2008-08-13T00:59:02.000Z,2.711,0.804,-0.676,-2.491
2008-08-13T00:59:18.000Z,2.758,0.979,-0.738,-2.464
2008-08-13T00:59:34.000Z,2.759,1.171,-0.746,-2.377
2008-08-13T00:59:50.000Z,2.736,0.729,-0.811,-2.499
2008-08-13T01:00:06.000Z,2.768,0.962,-0.751,-2.478
2008-08-13T01:00:22.000Z,2.756,0.914,-0.933,-2.424
2008-08-13T01:00:38.000Z,2.73,0.872,-0.799,-2.457
2008-08-13T01:00:54.000Z,2.832,0.979,-0.567,-2.591
2008-08-13T01:01:10.000Z,2.802,1.0,-0.647,-2.531
2008-08-13T01:01:26.000Z,2.813,1.039,-0.74,-2.503
