Vswe,Tswe,nswe,BmagMFI,BxMFI,ByMFI,BzMFI,Vmom,Tmom,nmom,BmagFGM,BxFGM,ByFGM,BzFGM,MPAUSEdistance,BowShockDistance,DynamicPressure
548.4968199562162,120707.4,1.9881199999999999,1.75655,0.24115000000000003,-1.0686499999999999,0.9084,17.18537426735819,43643087.56782915,0.22931559249999997,18.786046999999996,11.612925999999998,1.49094269,42.66147600000001,9.460916889570695,12.062669034202637,1.9977342337763482
551.7127851949144,120851.4,1.95628,1.4857,-0.0489,-1.3104,-0.6068,17.811944193013012,42040920.151364364,0.2182429227,27.217544999999994,11.861663000000002,1.54063488,43.814563,9.468455830145706,12.072281183435777,1.9890396330267446
552.1225489862366,127517.2,1.8591000000000002,1.2897,0.3209,-0.7003,-0.54565,23.200783627391964,42612542.418513514,0.2170776687,19.210276999999998,11.0633184,1.80976329,43.034177,9.54802897771884,12.173736946591523,1.8933589051782078
552.8974562623744,112036.8,1.90284,1.8067,0.54415,-0.08295000000000004,-1.1889500000000002,38.058173440309204,34026758.821954,0.2861834207999999,27.698987,10.991633299999998,2.6820785960000006,44.126636000000005,9.511003996053805,12.1265300949686,1.942149788215901
550.1142513972343,115958.4,1.7848399999999998,2.1555000000000004,1.23555,0.4941000000000001,-1.55135,49.80016768691498,32110642.74233929,0.44505525660000006,18.537149,11.8400384,0.81517114,42.885006,9.623745450025945,12.270275448783078,1.8042481294337809
550.6994536136635,123090.4,1.9580399999999998,1.6862000000000001,1.1487000000000003,-0.67545,-0.42065,55.84194745486427,27905816.557266675,0.5018441998000001,27.242335000000004,10.8510349,1.7000873200000002,41.595323,9.474359116376585,12.079807873380144,1.9837421891001976
555.8519122293253,112268.4,1.8629600000000004,1.92985,0.51305,0.36095,-1.7683500000000003,97.53773134697718,20026282.76270452,2.1075512667,19.045839,8.169929924,2.85575208,26.4755399,9.523677511099539,12.14268882665191,1.922704217514236
557.4525132200989,107609.4,1.8232,1.95855,0.52695,-0.57345,-1.6777000000000002,151.12620331489438,12387437.165768985,7.067794326999999,28.367848000000002,-3.8955024810000003,-5.0998033299999985,-7.008418840599999,9.548328486863705,12.174118820751227,1.8919954291943042
556.1866221927827,113089.4,1.83352,1.5964499999999997,0.5507500000000001,-0.85115,-1.1196499999999998,94.56651422770071,8468301.211737864,8.849266538,19.703554,-4.236985440000001,-9.3913558,-5.699504740000002,9.547740821316367,12.173369547178368,1.8941633290508464
553.662652532754,113975.6,1.89818,1.8108499999999998,0.45220000000000005,-0.19955,-1.6778,117.71989854708553,9063579.98116107,8.172795828000002,27.000830999999998,-4.016147340000001,-12.7547823,-2.0800572380000006,9.509789724163351,12.124981898308274,1.9431525631050217
551.8637621266305,112557.8,1.9546800000000002,1.98095,0.8413499999999999,-0.8021999999999998,-0.6673500000000001,134.54199477145522,9089116.98856628,7.8679058159999995,18.39208,-3.3495854120000006,-1.470116566000001,-11.36530997,9.473204045527217,12.078335158047201,1.9880610105353909
553.7412226130642,117165.8,1.9357799999999998,1.7358,0.9372,-0.8044499999999999,-0.5192,118.38860780634434,8338739.769052526,8.818419043,26.819366000000002,-1.5630341900000002,-1.8155900756,-7.432838386,9.4757653974444,12.081600881741611,1.9825650271725241
550.9840708310069,114251.4,2.02834,1.9817999999999998,1.3715,-0.8074999999999999,1.0641,125.33789622488398,8156511.81413174,7.600908800999998,19.025827,-5.1936566491,-10.19387452,-7.647536720630001,9.41937297780978,12.009700546707467,2.0563160192206373
551.9017876699197,115903.2,2.00346,1.9747500000000002,1.3199,-1.32055,0.45515000000000005,134.37170959726475,8853784.692158991,7.449721264999999,17.960323,-2.690855506,0.6027573092999999,-15.51196407,9.429528689236383,12.022649078776391,2.038154058180852
551.2496753784105,117877.2,1.8877400000000002,2.06175,1.5619999999999998,-1.2266999999999997,-0.31765,129.95482857784688,9519290.41642179,8.065621203000001,7.9877899,-1.6128905669999998,-2.8441432042000003,1.394058055,9.526934850786228,12.14684193475244,1.9160347247719205
554.2712676071071,113562.4,1.8990199999999997,2.19225,1.7191499999999997,-0.2606,-1.2075,123.74755010707761,9191927.494403936,8.310275490999999,10.866707599999998,-2.5229803459999998,-8.903836179999999,-0.047695229999999714,9.500938911339215,12.113697111957503,1.9492379723730973
553.4960689869049,113126.0,1.9015,1.6483,-0.43810000000000004,-1.1029499999999999,0.9657,108.93232369010862,8481163.19642591,9.090689663000001,6.8052414,-3.015038633,-9.0428507,-2.698984671,9.506212206182415,12.120420562882577,1.946123940087071
557.3455522831093,117606.4,1.89574,1.5593499999999998,-0.52785,-1.1354,0.65195,119.10595929160391,8805034.221656755,8.657484781,8.511463,-1.4911246070000002,-8.6720872,1.224294012,9.486174215418984,12.094872124659206,1.9671413023204996
560.1512689544044,110399.4,2.0170000000000003,1.8329499999999999,-0.8668999999999999,-1.52385,-0.07779999999999998,133.59785513820805,9167459.43682088,7.776832632,8.5068773,-1.7707451474,-12.013173799999999,5.294613793,9.374360863939549,11.952310101522922,2.1137204717045517
558.0893670953399,100720.92,1.88416,1.8815000000000002,-1.01775,-0.7932,-1.2310500000000002,126.83039359330766,9204845.838648373,8.12627343,10.749316000000002,-3.94137687,-10.523967099999998,-3.66690523,9.494413894240779,12.105377715156996,1.959807784215922
555.6622822600331,97296.78,1.7899,1.8931499999999999,-0.4683,-0.33649999999999997,-1.7480499999999999,134.86485323687938,8975541.33230633,7.8173939809999995,9.3783692,-5.00069193,-7.8663868500000005,-9.8328672,9.589354557864455,12.226427061277182,1.8456014183334752
