EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-13T00:56:57.000Z,2.79480,520.110,69664.2,-517.274,-20.8410,-51.9530
2008-08-13T00:58:01.000Z,1.98340,526.760,48584.1,-522.417,-26.6710,-63.8720
2008-08-13T00:59:05.000Z,2.28640,523.740,55132.2,-520.044,-24.7210,-58.8770
2008-08-13T01:00:09.000Z,2.06040,525.840,43685.5,-520.878,-31.3810,-66.8210
2008-08-13T01:01:13.000Z,2.10230,523.780,57762.5,-519.009,-28.2510,-66.5420
2008-08-13T01:02:17.000Z,2.23520,522.630,46619.2,-518.831,-26.5680,-58.9320
2008-08-13T01:03:21.000Z,2.04090,532.130,52731.6,-527.505,-26.6030,-66.6750
2008-08-13T01:04:25.000Z,2.01480,524.450,46310.2,-521.823,-22.1030,-49.5580
2008-08-13T01:05:29.000Z,1.80720,526.280,47292.1,-522.800,-22.6260,-58.0230
2008-08-13T01:06:33.000Z,2.12180,527.240,51345.0,-524.270,-20.5600,-53.9350
2008-08-13T01:07:37.000Z,2.11650,526.190,49123.0,-521.580,-27.3740,-65.8540
2008-08-13T01:08:41.000Z,2.16110,528.950,52576.6,-524.668,-28.4080,-62.9130
2008-08-13T01:09:45.000Z,2.20530,525.110,55452.2,-521.797,-23.9830,-55.8260
2008-08-13T01:10:49.000Z,2.35760,529.120,50556.2,-525.587,-23.6200,-58.3760
2008-08-13T01:11:53.000Z,2.30720,530.330,52015.1,-527.560,-19.7360,-52.4940
2008-08-13T01:12:57.000Z,2.20560,527.780,49709.8,-524.883,-23.7250,-51.8900
2008-08-13T01:14:01.000Z,2.20860,528.880,51385.3,-525.820,-22.0620,-54.4490
2008-08-13T01:15:05.000Z,2.30380,528.310,44407.8,-523.373,-30.3850,-67.4310
2008-08-13T01:16:09.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-13T01:17:13.000Z,2.46100,526.850,47095.3,-522.706,-30.6740,-60.5530
2008-08-13T01:18:17.000Z,2.53970,514.900,61631.8,-511.384,-29.6050,-54.4160
2008-08-13T01:19:21.000Z,2.27800,521.350,51766.9,-518.300,-26.7270,-51.7150
2008-08-13T01:20:25.000Z,1.78530,524.760,43211.4,-521.683,-27.1380,-52.0500
2008-08-13T01:21:29.000Z,2.18400,515.930,54888.5,-513.238,-22.7110,-49.6680
2008-08-13T01:22:33.000Z,2.31160,521.490,53242.9,-517.119,-32.5010,-61.2450
2008-08-13T01:23:37.000Z,2.13680,512.790,60476.5,-508.568,-28.2350,-61.5120
2008-08-13T01:24:41.000Z,2.36920,513.620,55161.5,-509.390,-29.7720,-60.8530
2008-08-13T01:25:45.000Z,2.06340,513.720,58462.3,-509.629,-26.7870,-61.0870
2008-08-13T01:26:49.000Z,2.27890,513.070,60757.7,-510.517,-21.0240,-48.8740
2008-08-13T01:27:53.000Z,1.92870,507.960,61834.2,-505.408,-18.8330,-49.4990
2008-08-13T01:28:57.000Z,2.23030,509.210,58411.1,-506.564,-22.3180,-49.0500
2008-08-13T01:30:01.000Z,2.14960,509.460,67450.3,-506.084,-24.8640,-55.3160
2008-08-13T01:31:05.000Z,2.25880,510.170,60630.3,-507.101,-22.3280,-53.4580
2008-08-13T01:32:09.000Z,2.21450,509.910,66334.2,-505.289,-30.9790,-63.3840
2008-08-13T01:33:13.000Z,2.18780,510.120,58565.1,-505.727,-27.4520,-63.2310
2008-08-13T01:34:17.000Z,2.09980,510.030,62058.4,-507.066,-20.6200,-53.2350
2008-08-13T01:35:21.000Z,2.05920,510.210,56553.2,-507.097,-25.4760,-52.5290
2008-08-13T01:36:25.000Z,2.14300,510.410,60810.2,-507.449,-26.2950,-50.5070
2008-08-13T01:37:29.000Z,2.23290,510.090,58916.3,-506.359,-27.2500,-57.5690
2008-08-13T01:38:33.000Z,2.34700,510.090,66266.7,-506.627,-29.1900,-54.0720
2008-08-13T01:39:37.000Z,2.55280,505.650,74805.0,-501.818,-28.7160,-57.4620
2008-08-13T01:40:41.000Z,2.21370,507.150,68740.9,-502.961,-30.0960,-60.0330
2008-08-13T01:41:45.000Z,2.55890,507.120,64028.6,-503.921,-28.2610,-51.8220
2008-08-13T01:42:49.000Z,2.13120,510.850,58948.8,-506.958,-29.4240,-58.0760
2008-08-13T01:43:53.000Z,2.34550,509.920,59861.4,-507.500,-24.7860,-45.4020
2008-08-13T01:44:57.000Z,2.25280,512.360,61573.8,-509.114,-32.2400,-50.1690
