EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-12T21:08:41.000Z,1.97960,554.330,122179.,-550.812,-10.9830,-59.9870
2008-08-12T21:09:45.000Z,1.87780,550.640,111219.,-549.528,-6.00900,-33.1340
2008-08-12T21:10:49.000Z,2.11880,554.070,131053.,-551.950,-6.21800,-46.7130
2008-08-12T21:11:53.000Z,2.01010,551.700,123161.,-550.020,-6.58500,-41.2320
2008-08-12T21:12:57.000Z,2.27650,549.210,107101.,-547.560,-8.68300,-40.3590
2008-08-12T21:14:01.000Z,1.86320,551.330,108128.,-549.591,-9.28700,-41.4090
2008-08-12T21:15:05.000Z,2.07530,551.900,112739.,-550.808,-3.34200,-33.3160
2008-08-12T21:16:09.000Z,1.91660,551.260,120128.,-549.111,-10.2080,-46.2750
2008-08-12T21:17:13.000Z,2.02700,551.870,121183.,-550.884,-3.46500,-31.5790
2008-08-12T21:18:17.000Z,2.00260,552.340,117186.,-550.749,-9.09800,-39.6790
2008-08-12T21:19:21.000Z,2.07340,551.360,117457.,-549.929,-7.63400,-37.7350
2008-08-12T21:20:25.000Z,1.97390,551.400,114415.,-549.069,-11.4650,-48.1630
2008-08-12T21:21:29.000Z,1.94040,552.990,109275.,-550.779,-11.4040,-46.8630
2008-08-12T21:22:33.000Z,1.92330,552.190,113710.,-550.882,-10.0920,-35.4590
2008-08-12T21:23:37.000Z,1.89450,551.430,109750.,-549.566,-11.8390,-42.5620
2008-08-12T21:24:41.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T21:25:45.000Z,1.89470,552.570,125488.,-551.101,-7.12000,-38.5200
2008-08-12T21:26:49.000Z,1.86410,551.290,116590.,-549.759,-8.54200,-39.0850
2008-08-12T21:27:53.000Z,1.86210,549.200,123848.,-546.400,-10.2000,-53.3290
2008-08-12T21:28:57.000Z,1.81160,551.130,114121.,-548.797,-11.0340,-48.3860
2008-08-12T21:30:01.000Z,1.91220,550.510,116697.,-548.572,-8.59600,-44.3420
2008-08-12T21:31:05.000Z,1.98230,560.830,113074.,-559.531,-12.1270,-35.0700
2008-08-12T21:32:09.000Z,1.88650,555.860,116426.,-555.023,-6.72700,-28.7830
2008-08-12T21:33:13.000Z,1.90250,553.390,107494.,-552.198,-5.38700,-34.8360
2008-08-12T21:34:17.000Z,1.72740,550.870,111312.,-550.076,-4.16100,-28.2770
2008-08-12T21:35:21.000Z,1.90070,551.980,115530.,-550.083,-7.34800,-44.1260
2008-08-12T21:36:25.000Z,1.87250,555.240,114966.,-553.622,-5.86700,-41.0170
2008-08-12T21:37:29.000Z,2.11000,554.330,107531.,-553.036,-6.32700,-36.3060
2008-08-12T21:38:33.000Z,1.89690,555.400,116291.,-553.938,-3.56400,-39.1400
2008-08-12T21:39:37.000Z,1.84790,554.050,121588.,-553.180,-1.20800,-30.0990
2008-08-12T21:40:41.000Z,1.85440,557.820,121620.,-556.759,-3.67600,-33.2440
2008-08-12T21:41:45.000Z,1.97230,558.310,114290.,-557.646,-6.22800,-25.6150
2008-08-12T21:42:49.000Z,1.84110,557.440,120143.,-555.709,-9.38600,-41.9830
2008-08-12T21:43:53.000Z,1.96300,559.390,110391.,-557.747,-12.0490,-40.2200
2008-08-12T21:44:57.000Z,2.20540,559.290,108550.,-557.922,-9.92300,-36.9940
2008-08-12T21:46:01.000Z,1.99100,559.200,111022.,-557.632,-9.54400,-39.9550
2008-08-12T21:47:05.000Z,2.03240,562.010,120131.,-561.272,-5.02700,-27.5820
2008-08-12T21:48:09.000Z,1.95640,560.560,111896.,-559.000,-6.48400,-40.5660
2008-08-12T21:49:13.000Z,1.89980,559.940,100398.,-559.086,-2.98500,-30.0110
2008-08-12T21:50:17.000Z,2.05930,557.540,104515.,-555.398,-9.25500,-47.1980
2008-08-12T21:51:21.000Z,1.78090,561.030,99058.5,-558.834,-12.4400,-47.3260
